               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023913,            0.010659,            0.029519,             0.76717,             0.86746,             0.91956,             0.63463,            0.020955,           0.0034776,            0.015478,            0.007624,            0.007624,            0.007624
                  38,            0.023991,            0.010422,            0.028393,               0.772,             0.84225,             0.87734,             0.61979,             0.01861,           0.0032977,            0.016397,            0.007558,            0.007558,            0.007558
                  39,            0.023886,             0.01027,            0.028908,             0.78094,             0.85321,             0.90654,             0.60741,            0.020988,           0.0035378,            0.015056,            0.007492,            0.007492,            0.007492
                  40,            0.023765,            0.010606,            0.028524,             0.77419,             0.80863,              0.8841,             0.59609,            0.020461,           0.0035812,            0.017532,            0.007426,            0.007426,            0.007426
                  41,            0.023757,            0.010269,            0.028555,             0.75982,             0.86714,               0.916,             0.64787,            0.019721,           0.0033946,            0.014298,             0.00736,             0.00736,             0.00736
                  42,             0.02325,            0.010471,            0.028555,              0.8399,             0.83983,             0.90642,             0.68335,            0.017761,           0.0034108,            0.015374,            0.007294,            0.007294,            0.007294
                  43,            0.023221,            0.010441,            0.026972,             0.78754,              0.8697,              0.9096,             0.63391,            0.019681,           0.0034243,            0.014064,            0.007228,            0.007228,            0.007228
                  44,            0.023583,            0.010266,             0.02689,             0.79103,             0.88054,              0.9088,             0.69147,            0.016834,           0.0032953,            0.013352,            0.007162,            0.007162,            0.007162
                  45,            0.023355,            0.010532,            0.026669,              0.8552,             0.88136,             0.94077,             0.70323,             0.01728,           0.0032995,            0.012808,            0.007096,            0.007096,            0.007096
                  46,             0.02333,            0.010282,            0.026361,             0.85495,              0.8227,             0.91366,             0.71776,            0.015374,           0.0032746,             0.01379,             0.00703,             0.00703,             0.00703
                  47,            0.022748,            0.010446,            0.026603,             0.85622,             0.83851,             0.91377,             0.69806,            0.015862,           0.0032696,            0.013295,            0.006964,            0.006964,            0.006964
